username,userid,profile_location,created_at,text,retweet_count,source,coordinates
PlaceChase,892841427427893251,"New York, NY",2023-01-23 03:56:32,"This may be American, but it is not America. It is not what America stands for, or should stand for. We wish the Ch… https://t.co/bqv7ur5CJU",0,Twitter Web App,
Bryant Z,284489378,NJ,2023-01-23 03:53:33,@GordonGChang Happy Chinese New Year.,0,Twitter for iPhone,
THE Money Maker,3692884996,"New York, USA",2023-01-23 03:38:17,"Massive pump anytime 👌 

 $RABBIT is the top of Chinese New Year meme coin.🐰✨ 

 https://t.co/dBDC7YKfKp

 #airdrop… https://t.co/WVyZPQRNqc",0,Twitter Web App,
DeShawn59 (StickyLinexArtworks),1483996449826385921,"Glenolden, PA",2023-01-23 03:33:11,"@NoreenArmiel Yeah, me too. Still though, happy Chinese New Year!",0,Twitter for iPhone,
AidalaBertunaKamins,764183702016589824,"New York, NY",2023-01-23 03:24:04,"Happy Lunar New Year!
Happy Chinese New Year! 

Wishing you good health and good fortune in the Year of the Rabbit.… https://t.co/XLi82iDwUw",0,Twitter for iPhone,
Johnny Doesn't Care,1236794639899930626,Alpha Centauri,2023-01-23 03:16:09,Is it heretical that we are eating Chinese food on Lunar New Year while watching a Japanese Noir?#BNoirDetour,0,Twitter for Android,
THE Money Maker,3692884996,"New York, USA",2023-01-23 03:12:08,Considering the recent pumps I believe people will hunt for micro caps and Year of the Rabbit might be good narrati… https://t.co/p86imyTk4F,0,Twitter Web App,
TeddyMuffs Designs,846273428,"New York, USA",2023-01-23 03:05:48,Happy Chinese New Year! Celebrate the Year of the Bun with these adorable mini magnet calendars!! 🥰 Live on my shop… https://t.co/s4mdb3lR4j,1,Twitter Web App,
"C.Y. Brown-Bellamy, MPA",1546871846,NYC/NJ,2023-01-23 03:03:39,Happy Chinese New Year. Special shout out to all my 1975ers!  #YearOfTheRabbit https://t.co/3qFcAS4fr4,0,Twitter for Android,
Max Li,1090055244271235072,New York,2023-01-23 03:03:21,Happy Chinese New Year to ALL !,0,Twitter Web App,
Lawrence Ferber @🏠,64613922,NYC,2023-01-23 03:03:10,@guyforget Not surprised. Some of the MAGAs are ranting about how the shooting would not have happened if Chinese d… https://t.co/mNwh1s5rS0,0,Twitter for iPhone,
SangQiFan@PeachStateUSA,1528175786880126977,Georgia USA,2023-01-23 03:02:01,"❤️ Lei Lei pictures with his love Princess Xiaobel. She is the luckiest 🥰🦮
Happy Chinese New Year to you ❤🎉
#WuLei… https://t.co/l2BASNi4Da",1,Twitter for Android,
Kingsborough Alumni,102730246,"Brooklyn, NY - USA",2023-01-23 03:00:32,"Happy Chinese New Year! 2023 is the Year of the Rabbit. Various cultures also celebrate Lunar New Year, based on th… https://t.co/bzCVaD0z2H",0,Twitter Web App,
APWTStationery,4699648392,New York City,2023-01-23 03:00:03,Printable Card Sets - https://t.co/Yh6a4v60gj - From APWT Stationery #LunarNewYear #stationery #printables https://t.co/iXY9QW6al3,1,TweetDeck Web App,
Aaron 🎏,1339906954936795136,"New York, NY",2023-01-23 02:53:38,@horizenglobal Happy Chinese New Year,0,Twitter Web App,
